id,price,desc,numstories,yearbuilt,exteriorfinish,rooftype,basement,totalrooms,bedrooms,bathrooms,fireplaces,sqft,lotarea,state,zipcode,AvgIncome
PA10995,2165585.535,SINGLE FAMILY,2,2005,Stone,SLATE,1,10,4,5.5,3,9444,131290,PA,15238,67370
VA10631,177429.1677,SINGLE FAMILY,2,1925,Stucco,SLATE,0,8,4,1.5,NA,1744,6750,VA,23222,29570
VA10765,151616.5693,SINGLE FAMILY,1,1959,Brick,ROLL,0,11,3,1,NA,1188,11250,VA,23225,35101
PA10818,108411.7932,SINGLE FAMILY,1,1957,Brick,SHINGLE,1,6,3,1.5,0,949,9000,PA,15332,62875
VA10927,338063.5185,SINGLE FAMILY,2,1910,Brick,METAL,0,9,4,2,NA,2894,4146.88,VA,23223,27936
VA10773,594444.9576,SINGLE FAMILY,2,1936,Brick,SLATE,1,10,4,3,NA,2187,10653.5,VA,23226,50519
VA10759,680665.781,SINGLE FAMILY,2,1913,Brick,METAL,0,7,3,2.5,NA,2511,2800.98,VA,23220,26557
VA10511,286201.8387,SINGLE FAMILY,2,1910,Frame,METAL,0,10,4,2,NA,1874,2850,VA,23223,27936
PA10064,69219.49743,SINGLE FAMILY,1,1955,Brick,SHINGLE,1,5,3,1,0,964,6840,PA,15227,38439
VA10788,744402.3478,SINGLE FAMILY,2,1959,Brick,SLATE,1,11,5,5,NA,2629,23212,VA,23221,39943
PA10113,72729.21352,SINGLE FAMILY,2,1911,Frame,SHINGLE,1,7,3,1,1,1600,2500,PA,15214,30725
PA10279,318260.7237,CONDOMINIUM,2.5,2004,Frame,SHINGLE,1,6,3,3.5,0,2327,0,PA,15238,67370
PA10050,60393.05867,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,6,3,1.5,1,1374,2348,PA,15214,30725
VA10974,222299.66,SINGLE FAMILY,2,1930,Brick,SLATE,0,8,4,2,NA,1940,9800,VA,23222,29570
PA10074,518323.4852,SINGLE FAMILY,2,2003,Brick,SHINGLE,1,8,4,3,0,3884,384635,PA,15025,60669
VA10706,271257.932,SINGLE FAMILY,2,1900,Brick,METAL,0,6,3,2,NA,1824,2000,VA,23220,26557
VA10230,429622.0324,SINGLE FAMILY,2,1918,Brick,METAL,0,7,4,3,NA,1562,2741.85,VA,23221,39943
PA10159,208425.2995,CONDOMINIUM,1.5,2000,Frame,SHINGLE,0,6,2,2.5,0,1825,0,PA,15235,41367
VA10133,128233.2423,SINGLE FAMILY,1,1956,Brick,SHINGLE,0,8,3,1,NA,1091,6201,VA,23222,29570
VA10485,586830.1928,SINGLE FAMILY,2,1940,Brick,SLATE,1,9,4,2.5,NA,2331,7200,VA,23226,50519
PA10888,234096.4365,SINGLE FAMILY,2,1936,Frame,SHINGLE,1,8,4,2.5,0,2456,18970,PA,15238,67370
PA10828,234766.7305,SINGLE FAMILY,2.5,1900,Frame,SHINGLE,1,7,3,2,0,3110,8648,PA,15226,37889
VA10441,61728.4475,SINGLE FAMILY,1,1910,Frame,METAL,0,4,2,1,NA,794,4950,VA,23224,27132
VA10763,321150.9962,SINGLE FAMILY,2,1923,Brick,METAL,0,7,3,1,NA,1496,2531.1,VA,23220,26557
PA10317,51686.21083,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,5,2,1,1,1179,1593,PA,15216,39526
PA10613,121366.0413,CONDOMINIUM,2,1993,Frame,SHINGLE,1,6,2,1.5,0,1814,1544,PA,15212,26712
PA10922,144111.2105,SINGLE FAMILY,2,1910,Frame,SHINGLE,1,8,4,2,0,2016,15600,PA,15025,60669
PA10184,51622.22039,SINGLE FAMILY,2,1910,Frame,SHINGLE,1,4,2,1.5,0,2146,1740,PA,15223,33724
PA10909,700871.4426,SINGLE FAMILY,2,1993,Frame,SHINGLE,1,10,4,3.5,1,5585,435600,PA,15025,60669
PA10281,304249.1118,MULTI-FAMILY,3,1880,Brick,SLATE,1,12,4,3.5,0,1980,1751,PA,15212,26712
PA10350,266051.5068,SINGLE FAMILY,2,2013,Frame,SHINGLE,1,8,4,2.5,0,1934,7468,PA,15026,69387
VA10567,310480.0413,SINGLE FAMILY,2,1932,Brick,SLATE,1,8,5,2.5,NA,2000,9712.8,VA,23231,43600
PA10362,256377.4263,SINGLE FAMILY,2,1989,Frame,SHINGLE,1,8,4,3.5,1,2046,12866,PA,15044,95289
VA10018,182910.413,SINGLE FAMILY,2,1924,Stucco,SLATE,0,6,3,1.5,NA,1760,4334,VA,23222,29570
VA10409,421829.0133,SINGLE FAMILY,2,1941,Brick,SLATE,0,7,3,2,NA,2112,7312,VA,23221,39943
PA10185,148249.37,SINGLE FAMILY,1,1940,Stone,SLATE,1,6,3,2,1,1729,8320,PA,15235,41367
PA10386,1227628.978,SINGLE FAMILY,2,1998,Stucco,SHINGLE,1,13,4,6,2,6705,87120,PA,15044,95289
VA10303,154642.3604,SINGLE FAMILY,1,1923,Brick,METAL,0,8,3,1.5,NA,1372,4200,VA,23222,29570
PA10552,451828.8716,SINGLE FAMILY,2,1997,Brick,SHINGLE,1,9,4,2.5,1,3452,17031,PA,15237,55016
PA10327,413242.8424,SINGLE FAMILY,2,1964,Brick,SLATE,1,9,4,3.5,1,2200,15737,PA,15243,60717
VA10170,215983.2108,SINGLE FAMILY,2,1928,Brick,SLATE,0,7,3,1.5,NA,1450,5937.75,VA,23220,26557
VA10003,228450.3891,SINGLE FAMILY,2,1855,Frame,METAL,0,6,3,2.5,NA,1372,1563.92,VA,23223,27936
VA10168,158990.0338,CONDOMINIUM,1,1925,Brick,METAL,0,4,2,1,NA,799,0,VA,23223,27936
VA10234,267745.0546,SINGLE FAMILY,2,1900,Brick,METAL,0,7,3,2,NA,1921,3100,VA,23220,26557
PA10621,372181.1337,SINGLE FAMILY,1.5,1940,Frame,SHINGLE,1,10,5,2.5,1,2693,31200,PA,15236,46913
PA10951,249141.8729,SINGLE FAMILY,2,2011,Frame,SHINGLE,1,6,3,2.5,0,2519,10019,PA,15026,69387
VA10921,166334.4635,SINGLE FAMILY,2,1923,Stucco,SLATE,0,7,4,1.5,NA,1850,5400,VA,23222,29570
PA10075,135401.9481,SINGLE FAMILY,1,1969,Brick,SHINGLE,1,7,3,1.5,0,1839,7800,PA,15025,60669
VA10893,593143.9088,SINGLE FAMILY,2,1949,Brick,SLATE,0,9,3,3,NA,3700,6600,VA,23225,35101
VA10628,284861.9433,SINGLE FAMILY,2,1924,Brick,METAL,1,9,4,1.5,NA,1166,2286.9,VA,23220,26557
PA10335,143426.3618,SINGLE FAMILY,1,1960,Brick,SHINGLE,1,6,3,1,0,1524,7800,PA,15220,44018
VA10582,345389.4283,SINGLE FAMILY,2,1909,Brick,METAL,0,7,2,2,NA,1860,2133.58,VA,23220,26557
VA10720,1357578.592,SINGLE FAMILY,2,1950,Brick,SLATE,0,11,5,4,NA,4883,28261,VA,23221,39943
PA10171,50052.90354,SINGLE FAMILY,1,1941,Frame,SHINGLE,1,5,2,1,1,788,9628,PA,15034,57850
PA10180,81059.05321,SINGLE FAMILY,1,1999,Brick,SHINGLE,1,7,3,2,0,2080,10200,PA,15220,44018
PA10534,558365.7969,SINGLE FAMILY,2,2008,Brick,SHINGLE,1,9,4,2.5,1,3302,431941,PA,15005,64427
PA10380,48010.43828,SINGLE FAMILY,1,1958,Brick,SHINGLE,1,4,1,1,0,900,7710,PA,15235,41367
PA10712,83968.12255,SINGLE FAMILY,1,1950,Brick,SHINGLE,1,5,3,1.5,0,1330,5750,PA,15014,42500
PA10030,48457.80989,ROWHOUSE,2,1900,Frame,SHINGLE,1,4,1,1,0,1024,816,PA,15224,22880
PA10942,417817.1288,SINGLE FAMILY,1,1955,Brick,SHINGLE,1,10,4,2.5,2,3425,108900,PA,15238,67370
PA10209,77683.27634,SINGLE FAMILY,1,1967,Brick,SHINGLE,1,6,3,1.5,1,1233,7500,PA,15237,55016
VA10160,188475.2237,SINGLE FAMILY,1,1955,Frame,SHINGLE,0,9,4,2,NA,1377,37542,VA,23231,43600
PA10427,1121120.67,SINGLE FAMILY,2,1993,Brick,SHINGLE,1,14,5,6.5,1,6170,229300,PA,15044,95289
VA10497,491006.0437,SINGLE FAMILY,2,1919,Brick,METAL,0,10,3,3.5,NA,2028,2329,VA,23221,39943
VA10571,1066305.711,SINGLE FAMILY,2,1928,Brick,SLATE,0,10,4,4,NA,3924,19336,VA,23226,50519
VA10801,598981.866,SINGLE FAMILY,2,1952,Brick,SLATE,0,8,3,2.5,NA,3211,52120,VA,23225,35101
VA10702,329657.8477,SINGLE FAMILY,2,1932,Brick,SLATE,0,10,5,2,NA,1808,9176,VA,23225,35101
VA10786,152495.0391,SINGLE FAMILY,2,1922,Stucco,ROLL,0,10,4,1,NA,1444,6750,VA,23222,29570
PA10837,51170.7466,SINGLE FAMILY,2,1896,Frame,SHINGLE,1,4,2,1,0,1520,2640,PA,15212,26712
PA10269,59789.81845,SINGLE FAMILY,2,1930,Brick,SLATE,1,5,2,1,0,1588,3787,PA,15226,37889
VA10131,384228.6455,SINGLE FAMILY,2,1930,Brick,SLATE,1,9,3,3,NA,1808,6600,VA,23225,35101
PA10425,273197.3275,SINGLE FAMILY,2,1994,Frame,SHINGLE,1,7,4,3.5,1,3046,20000,PA,15238,67370
VA10858,486400.0178,SINGLE FAMILY,2,1915,Brick,METAL,0,7,3,1.5,NA,2160,2530,VA,23220,26557
PA10997,392173.2044,SINGLE FAMILY,2,1977,Frame,SHINGLE,1,8,4,2.5,1,3272,89646,PA,15238,67370
PA10049,643418.0351,CONDOMINIUM,1,2015,Concrete,SHINGLE,1,10,4,4,0,3986,0,PA,15238,67370
VA10026,414449.9691,SINGLE FAMILY,2,1914,Brick,METAL,0,7,4,1.5,NA,1564,2037.24,VA,23220,26557
PA10862,352217.1576,SINGLE FAMILY,2,1988,Brick,SHINGLE,1,8,4,2.5,0,3692,16291,PA,15025,60669
VA10501,340762.4184,SINGLE FAMILY,1.8,1938,Brick,SLATE,0,7,3,1.5,NA,1547,6681.01,VA,23225,35101
PA10699,408956.6658,CONDOMINIUM,2,2015,Frame,SHINGLE,1,9,3,3.5,0,3634,8682,PA,15236,46913
PA10779,46232.09895,SINGLE FAMILY,1,1942,Frame,SHINGLE,1,4,2,1,0,870,22278,PA,15332,62875
VA10696,240811.5926,SINGLE FAMILY,1.8,1941,Brick,SLATE,0,11,5,2.5,NA,2144,13062,VA,23222,29570
PA10850,202942.7876,SINGLE FAMILY,1.5,1935,Stone,SLATE,1,7,3,2,1,1476,20250,PA,15241,85102
VA10392,552793.8507,SINGLE FAMILY,2,1911,Brick,METAL,0,6,3,2.5,NA,2251,2577.5,VA,23220,26557
PA10906,254064.0906,CONDOMINIUM,1,2006,Brick,SHINGLE,1,7,3,1.5,0,2634,10404,PA,15025,60669
PA10448,277231.3067,CONDOMINIUM,2,2014,Brick,SHINGLE,1,6,3,2.5,0,2318,0,PA,15237,55016
PA10923,134960.1251,SINGLE FAMILY,1,1965,Frame,SHINGLE,1,6,3,2,1,1630,18731,PA,15332,62875
VA10772,1118948.353,SINGLE FAMILY,1.5,1948,Brick,SLATE,1,11,5,5.5,NA,3931,27723,VA,23226,50519
PA10173,67008.52244,SINGLE FAMILY,1,1953,Brick,SHINGLE,1,5,2,1,1,886,7891,PA,15034,57850
VA10699,658676.0533,SINGLE FAMILY,2,1910,Brick,METAL,1,9,4,2.5,NA,2380,2687.5,VA,23220,26557
PA10625,98909.60361,SINGLE FAMILY,1,1953,Brick,SHINGLE,1,5,2,1,0,1272,13809,PA,15241,85102
VA10859,732827.2681,SINGLE FAMILY,2,1938,Brick,SLATE,1,10,5,3.5,NA,3111,9600,VA,23226,50519
VA10245,139585.4904,SINGLE FAMILY,1,1955,Brick,SHINGLE,0,5,3,1,NA,1344,6750,VA,23222,29570
PA10669,280973.8546,SINGLE FAMILY,2,2016,Frame,SHINGLE,1,8,4,2.5,0,2112,7500,PA,15026,69387
PA10939,134332.1813,SINGLE FAMILY,1,1960,Brick,SHINGLE,1,7,3,1.5,1,1749,7445,PA,15236,46913
VA10727,398199.5395,SINGLE FAMILY,2,1939,Brick,SLATE,0,6,3,2.5,NA,1452,8500,VA,23221,39943
PA10251,123259.3648,SINGLE FAMILY,1,1959,Brick,SHINGLE,1,5,2,1,1,1782,11256,PA,15025,60669
VA10934,523355.22,SINGLE FAMILY,2,1933,Brick,SLATE,1,9,4,3,NA,2084,7142.52,VA,23221,39943
PA10977,151570.0515,SINGLE FAMILY,1,1991,Brick,SHINGLE,1,6,3,1.5,0,1594,42515,PA,15037,55863
PA10242,74545.00755,SINGLE FAMILY,2,1920,Frame,SHINGLE,1,5,2,1,0,1144,2400,PA,15037,55863
VA10882,173001.3559,SINGLE FAMILY,2,1924,Stucco,SLATE,0,8,4,1.5,NA,1576,6750,VA,23222,29570
VA10118,302452.6775,SINGLE FAMILY,2,1927,Stucco,SLATE,0,8,4,1.5,NA,1585,7200,VA,23227,36568
PA10056,883709.4918,SINGLE FAMILY,2,1930,Frame,SLATE,1,10,5,4.5,1,3523,125845,PA,15238,67370
PA10934,173705.9463,MULTI-FAMILY,2.5,1925,Brick,SLATE,1,9,4,2,0,2160,2482,PA,15218,35983
VA10231,212091.0931,SINGLE FAMILY,2,1890,Frame,METAL,0,7,2,2,NA,1408,1994,VA,23220,26557
VA10012,261855.5176,SINGLE FAMILY,1,1940,Brick,SHINGLE,0,6,3,2,NA,1524,7500,VA,23225,35101
VA10787,123113.6569,SINGLE FAMILY,1,1966,Brick,SHINGLE,0,6,3,1.5,NA,1400,7690,VA,23224,27132
PA10573,102640.9062,SINGLE FAMILY,1,1964,Brick,SHINGLE,1,6,3,2,0,1234,20650,PA,15037,55863
VA10855,356395.0929,SINGLE FAMILY,2,1936,Brick,SLATE,0,8,4,1.5,NA,1979,11555,VA,23225,35101
VA10084,487325.324,SINGLE FAMILY,2,1922,Brick,SLATE,0,10,4,2,NA,3082,6500,VA,23226,50519
PA10394,433703.4677,SINGLE FAMILY,1,1956,Brick,SLATE,1,9,4,3.5,2,2687,12745,PA,15243,60717
VA10647,175018.5594,SINGLE FAMILY,2,1924,Stucco,SHINGLE,0,14,4,2,NA,2394,6650,VA,23222,29570
VA10854,328436.7315,SINGLE FAMILY,2,1921,Brick,METAL,0,6,3,2,NA,1414,2186.94,VA,23220,26557
VA10872,365274.1785,SINGLE FAMILY,2,1913,Frame,SLATE,0,8,3,2,NA,2493,9485,VA,23227,36568
VA10375,327151.7108,SINGLE FAMILY,1.8,1950,Brick,SHINGLE,0,7,3,2,NA,1708,18798,VA,23226,50519
VA10726,404103.4741,SINGLE FAMILY,2,1905,Brick,METAL,0,10,4,2.5,NA,1854,2311.5,VA,23223,27936
VA10508,400038.537,SINGLE FAMILY,2.5,1805,Brick,METAL,0,9,4,2.5,NA,1782,2017.31,VA,23223,27936
VA10835,142697.8806,SINGLE FAMILY,1,1955,Brick,SHINGLE,0,5,3,1,NA,1137,15826,VA,23234,40522
VA10993,306612.3474,SINGLE FAMILY,2,1860,Brick,METAL,0,7,3,2,NA,2318,4131,VA,23220,26557
PA10801,780957.4703,SINGLE FAMILY,1,1957,Stone,METAL,1,8,4,5.5,1,3904,19800,PA,15243,60717
VA10074,377204.1103,SINGLE FAMILY,2,1924,Brick,METAL,0,8,3,2.5,NA,1562,3152.5,VA,23221,39943
PA10280,306463.7242,SINGLE FAMILY,2,2017,Frame,SHINGLE,1,8,4,2.5,0,2504,12663,PA,15026,69387
PA10711,49927.49253,SINGLE FAMILY,2,1959,Brick,SHINGLE,1,5,2,1.5,0,1080,1986,PA,15235,41367
VA10117,391005.4235,MULTI-FAMILY,2,1925,Brick,SLATE,0,11,5,4,NA,2981,10260,VA,23222,29570
PA10878,796415.1926,SINGLE FAMILY,2,2016,Frame,SHINGLE,1,12,4,4.5,0,5518,30570,PA,15237,55016
PA10292,65096.36608,SINGLE FAMILY,1,1959,Brick,SHINGLE,1,5,3,1,0,900,9750,PA,15332,62875
PA10650,136721.8705,CONDOMINIUM,1,1996,Frame,SHINGLE,0,6,3,2.5,0,1110,0,PA,15044,95289
VA10513,611791.4836,SINGLE FAMILY,2,1909,Brick,METAL,1,8,3,4,NA,2776,2313.4,VA,23220,26557
VA10908,447310.5179,SINGLE FAMILY,2,1923,Brick,METAL,1,9,3,1.5,NA,1805,3625,VA,23221,39943
PA10227,80603.96021,CONDOMINIUM,2,1984,Frame,SHINGLE,1,4,2,1.5,0,992,1200,PA,15236,46913
VA10428,785852.5348,SINGLE FAMILY,1.75,1941,Frame,SLATE,0,9,4,3.5,NA,3436,16371,VA,23226,50519
VA10601,713820.1494,SINGLE FAMILY,1.75,1954,Brick,SLATE,0,8,5,4,NA,3028,20000,VA,23221,39943
PA10948,97798.3132,SINGLE FAMILY,2,2004,Frame,SHINGLE,1,9,4,3,0,2236,57913,PA,15003,37868
PA10070,246023.4663,SINGLE FAMILY,2,1970,Frame,SHINGLE,1,8,4,2.5,1,2059,11250,PA,15237,55016
VA10623,718150.4442,SINGLE FAMILY,3,1882,Brick,METAL,0,11,6,3.5,NA,4524,4952,VA,23220,26557
VA10614,315356.6273,SINGLE FAMILY,1,1941,Brick,SLATE,0,6,3,1.5,NA,1914,8081.4,VA,23226,50519
PA10163,643333.5952,SINGLE FAMILY,2,1934,Stone,SLATE,1,9,4,3,2,3378,16554,PA,15243,60717
VA10371,361956.8019,SINGLE FAMILY,2,1917,Brick,METAL,1,6,3,2,NA,1360,1709.41,VA,23221,39943
PA10830,103729.6668,SINGLE FAMILY,1,1948,Frame,SHINGLE,1,6,2,2,0,982,59154,PA,15332,62875
VA10137,363551.5168,SINGLE FAMILY,1,1935,Brick,SLATE,0,7,3,1.5,NA,2929,12662,VA,23225,35101
PA10089,69724.79245,SINGLE FAMILY,1,1958,Brick,SHINGLE,1,4,2,1,1,888,7890,PA,15223,33724
VA10095,294562.0872,SINGLE FAMILY,1.5,1940,Brick,SHINGLE,0,7,4,2,NA,2022,12000,VA,23227,36568
PA10971,1190970.575,SINGLE FAMILY,2,2004,Brick,SHINGLE,1,10,4,5.5,2,7886,609840,PA,15237,55016
PA10098,88251.76279,SINGLE FAMILY,1,1948,Brick,SHINGLE,0,6,3,1,0,1328,1461,PA,15236,46913
